"id_aluno","sorteio_tratamento","tratamento_aplicado","nota_matematica","tempo","sexo","raca","escolaridade_pais","id_escola","naoatrito_t1","naoatrito_t2"
1,1,1,38.606941210538,-2,0,0,5,1,1,0
1,1,1,45.1161401380422,-1,0,0,5,1,1,0
1,1,1,42.5817789495925,0,0,0,5,1,1,0
1,1,1,46.2074251210355,1,0,0,5,1,1,0
2,0,0,40.6283420755158,-2,1,0,4,1,1,1
2,0,0,51.2014919291215,-1,1,0,4,1,1,1
2,0,0,46.4522655533762,0,1,0,4,1,1,1
2,0,0,45.2855742823891,1,1,0,4,1,1,1
2,0,0,44.8685151070762,2,1,0,4,1,1,1
3,0,0,42.4281677080864,-2,1,1,4,1,1,1
3,0,0,45.6499061968678,-1,1,1,4,1,1,1
3,0,0,44.7863343596258,0,1,1,4,1,1,1
3,0,0,42.6719615574664,1,1,1,4,1,1,1
3,0,0,46.5379503175289,2,1,1,4,1,1,1
4,0,0,38.140385959704,-2,1,0,3,1,1,1
4,0,0,41.416763627644,-1,1,0,3,1,1,1
4,0,0,45.0833595580069,0,1,0,3,1,1,1
4,0,0,47.1899410026458,1,1,0,3,1,1,1
4,0,0,48.3067544251059,2,1,0,3,1,1,1
5,1,1,50.6594122108476,-2,1,0,3,1,1,1
5,1,1,49.2777501472858,-1,1,0,3,1,1,1
5,1,1,47.7796834661668,0,1,0,3,1,1,1
5,1,1,53.0984830988549,1,1,0,3,1,1,1
5,1,1,59.7877695082868,2,1,0,3,1,1,1
6,1,0,62.2801540665146,-2,1,1,4,1,1,1
6,1,0,50.7709639112794,-1,1,1,4,1,1,1
6,1,0,50.0734900843773,0,1,1,4,1,1,1
6,1,0,53.3643944567267,1,1,1,4,1,1,1
6,1,0,51.4838052130011,2,1,1,4,1,1,1
7,1,1,56.0290709605646,-2,1,0,4,1,1,1
7,1,1,48.1264790330852,-1,1,0,4,1,1,1
7,1,1,53.5038076288613,0,1,0,4,1,1,1
7,1,1,59.32945308402,1,1,0,4,1,1,1
7,1,1,70.152411318707,2,1,0,4,1,1,1
8,1,1,47.6901386343174,-2,1,0,3,1,1,1
8,1,1,39.3866664243684,-1,1,0,3,1,1,1
8,1,1,45.8473929905912,0,1,0,3,1,1,1
8,1,1,46.0182543432715,1,1,0,3,1,1,1
8,1,1,59.4461853918924,2,1,0,3,1,1,1
9,0,0,53.5135148535841,-2,1,1,4,1,1,0
9,0,0,53.117842161631,-1,1,1,4,1,1,0
9,0,0,53.3712833901278,0,1,1,4,1,1,0
9,0,0,50.8021221915919,1,1,1,4,1,1,0
10,1,1,46.5924939862082,-2,1,0,2,1,0,1
10,1,1,45.3667348666723,-1,1,0,2,1,0,1
10,1,1,44.6316391414171,0,1,0,2,1,0,1
10,1,1,54.3407452115235,2,1,0,2,1,0,1
11,0,0,55.0581916081716,-2,1,1,4,1,1,1
11,0,0,53.0586059011093,-1,1,1,4,1,1,1
11,0,0,50.369266279227,0,1,1,4,1,1,1
11,0,0,54.0442324895609,1,1,1,4,1,1,1
11,0,0,51.6758661849634,2,1,1,4,1,1,1
12,1,0,59.1581688862599,-2,1,1,4,1,1,1
12,1,0,60.6516339667963,-1,1,1,4,1,1,1
12,1,0,56.3535687654429,0,1,1,4,1,1,1
12,1,0,55.4575809302497,1,1,1,4,1,1,1
12,1,0,52.997665559938,2,1,1,4,1,1,1
13,0,0,34.7355554728255,-2,0,0,3,1,1,1
13,0,0,47.1934534463024,-1,0,0,3,1,1,1
13,0,0,48.1830292424077,0,0,0,3,1,1,1
13,0,0,48.8036427957646,1,0,0,3,1,1,1
13,0,0,48.223474310125,2,0,0,3,1,1,1
14,0,0,57.2725649257214,-2,0,0,3,1,1,1
14,0,0,41.1028797392703,-1,0,0,3,1,1,1
14,0,0,46.1753839370795,0,0,0,3,1,1,1
14,0,0,47.6094843890216,1,0,0,3,1,1,1
14,0,0,42.4441689780076,2,0,0,3,1,1,1
15,1,0,43.3391668496704,-2,0,1,2,1,1,1
15,1,0,47.5898416381573,-1,0,1,2,1,1,1
15,1,0,48.2689028974472,0,0,1,2,1,1,1
15,1,0,50.6307649304574,1,0,1,2,1,1,1
15,1,0,50.3661425326795,2,0,1,2,1,1,1
16,1,1,55.6960592724045,-2,1,0,5,1,1,1
16,1,1,48.3608125339245,-1,1,0,5,1,1,1
16,1,1,53.9125856971397,0,1,0,5,1,1,1
16,1,1,59.026411158009,1,1,0,5,1,1,1
16,1,1,66.642707992154,2,1,0,5,1,1,1
17,1,0,51.7948855136835,-2,1,1,3,1,1,1
17,1,0,42.3639576216883,-1,1,1,3,1,1,1
17,1,0,44.6923574369208,0,1,1,3,1,1,1
17,1,0,43.1430372758855,1,1,1,3,1,1,1
17,1,0,46.1195835376385,2,1,1,3,1,1,1
18,1,1,47.1401087001856,-2,0,0,4,1,0,1
18,1,1,49.1620051926324,-1,0,0,4,1,0,1
18,1,1,52.6184005790044,0,0,0,4,1,0,1
18,1,1,64.6601996877233,2,0,0,4,1,0,1
19,1,1,52.8522072139719,-2,0,0,4,1,0,1
19,1,1,51.0074097026153,-1,0,0,4,1,0,1
19,1,1,52.4974042821806,0,0,0,4,1,0,1
19,1,1,61.009921791228,2,0,0,4,1,0,1
20,1,1,52.4974618516251,-2,0,1,3,1,1,1
20,1,1,51.5760012969391,-1,0,1,3,1,1,1
20,1,1,49.3569716563951,0,0,1,3,1,1,1
20,1,1,59.5816590441887,1,0,1,3,1,1,1
20,1,1,75.7835299398438,2,0,1,3,1,1,1
21,1,1,55.9496785770506,-2,1,0,3,2,0,1
21,1,1,47.4104303145194,-1,1,0,3,2,0,1
21,1,1,50.4141412658119,0,1,0,3,2,0,1
21,1,1,64.4749193041769,2,1,0,3,2,0,1
22,0,0,53.5541828179753,-2,0,0,2,2,1,1
22,0,0,45.64922544325,-1,0,0,2,2,1,1
22,0,0,48.9520255811988,0,0,0,2,2,1,1
22,0,0,51.3959598275252,1,0,0,2,2,1,1
22,0,0,48.4063365752419,2,0,0,2,2,1,1
23,0,0,45.0884852851322,-2,0,0,4,2,1,1
23,0,0,48.2122163029827,-1,0,0,4,2,1,1
23,0,0,49.2332937519475,0,0,0,4,2,1,1
23,0,0,47.8426512093204,1,0,0,4,2,1,1
23,0,0,47.8144243078615,2,0,0,4,2,1,1
24,1,0,53.4140845182697,-2,1,1,4,2,0,1
24,1,0,49.6044853774847,-1,1,1,4,2,0,1
24,1,0,52.4424063265942,0,1,1,4,2,0,1
24,1,0,48.1934558030504,2,1,1,4,2,0,1
25,1,1,56.8714778311985,-2,0,0,3,2,1,1
25,1,1,61.3046712134721,-1,0,0,3,2,1,1
25,1,1,56.9391154920762,0,0,0,3,2,1,1
25,1,1,61.5190044871318,1,0,0,3,2,1,1
25,1,1,67.8652858797361,2,0,0,3,2,1,1
26,1,1,44.4201586839346,-2,1,0,5,2,1,1
26,1,1,48.8283934260156,-1,1,0,5,2,1,1
26,1,1,49.9072558239422,0,1,0,5,2,1,1
26,1,1,53.5696547691034,1,1,0,5,2,1,1
26,1,1,65.5774352872607,2,1,0,5,2,1,1
27,0,0,52.3960951340242,-2,0,0,3,2,1,0
27,0,0,46.6622004179799,-1,0,0,3,2,1,0
27,0,0,45.9945616610626,0,0,0,3,2,1,0
27,0,0,46.0089450155022,1,0,0,3,2,1,0
28,0,0,48.5620775741222,-2,1,0,3,2,1,1
28,0,0,49.8390591534718,-1,1,0,3,2,1,1
28,0,0,48.1041777077314,0,1,0,3,2,1,1
28,0,0,48.2132208554123,1,1,0,3,2,1,1
28,0,0,48.79833629418,2,1,0,3,2,1,1
29,0,0,42.896192568048,-2,1,0,3,2,1,1
29,0,0,55.037302005653,-1,1,0,3,2,1,1
29,0,0,51.2090395977709,0,1,0,3,2,1,1
29,0,0,49.3387391370876,1,1,0,3,2,1,1
29,0,0,51.2439826605825,2,1,0,3,2,1,1
30,0,0,49.2679267734216,-2,0,1,3,2,1,0
